smoke,sex,age,edu,weight,height,bmi,sport,marital,region,wkabint,income,ls,ID
NO,FEMALE,68,PRIMARY/NO EDUCATION,50.0,152.0,21.6412742382271,YES,WIDOWED,Slaskie,NO,425.0,MOSTLY DISSATISFIED,2969
NO,MALE,59,VOCATIONAL/GRAMMAR,105.0,182.0,31.6990701606086,YES,MARRIED,Dolnoslaskie,NO,1400.0,MIXED,2970
NO,FEMALE,60,SECONDARY,72.0,170.0,24.9134948096886,YES,MARRIED,Podlaskie,NO,1200.0,MOSTLY SATISFIED,2971
YES,FEMALE,56,VOCATIONAL/GRAMMAR,52.0,153.0,22.2136784997223,NO,SINGLE,Kujawsko-pomorskie,NO,240.0,MOSTLY DISSATISFIED,2972
NO,FEMALE,39,SECONDARY,58.0,150.0,25.7777777777778,YES,MARRIED,Mazowieckie,NO,1500.0,MIXED,2973
NO,FEMALE,61,POST-SECONDARY OR HIGHER,76.0,165.0,27.9155188246097,NO,WIDOWED,Pomorskie,NO,2000.0,MOSTLY SATISFIED,2974
NO,MALE,75,VOCATIONAL/GRAMMAR,74.0,165.0,27.1808999081726,YES,MARRIED,Slaskie,NO,1520.0,MOSTLY SATISFIED,2975
NO,FEMALE,50,POST-SECONDARY OR HIGHER,100.0,166.0,36.2897372623022,NO,MARRIED,Lubelskie,NO,0.0,PLEASED,2976
NO,MALE,17,VOCATIONAL/GRAMMAR,76.0,172.0,25.6895619253651,NO,SINGLE,Podkarpackie,NO,,PLEASED,2977
YES,MALE,54,SECONDARY,102.0,176.0,32.9287190082645,YES,MARRIED,Mazowieckie,NO,1200.0,MOSTLY SATISFIED,2978
NO,FEMALE,49,VOCATIONAL/GRAMMAR,70.0,158.0,28.0403781445281,YES,MARRIED,Zachodnio-pomorskie,NO,,PLEASED,2979
NO,MALE,54,VOCATIONAL/GRAMMAR,68.0,176.0,21.952479338843,YES,SINGLE,Slaskie,NO,1200.0,MOSTLY DISSATISFIED,2980
NO,MALE,26,VOCATIONAL/GRAMMAR,94.0,175.0,30.6938775510204,NO,MARRIED,Zachodnio-pomorskie,NO,1200.0,DELIGHTED,2981
NO,MALE,64,POST-SECONDARY OR HIGHER,83.0,170.0,28.719723183391,YES,MARRIED,Opolskie,NO,0.0,PLEASED,2982
NO,FEMALE,26,POST-SECONDARY OR HIGHER,61.0,165.0,22.4058769513315,NO,SINGLE,Malopolskie,NO,3000.0,PLEASED,2983
NO,FEMALE,23,SECONDARY,60.0,168.0,21.2585034013605,YES,SINGLE,Mazowieckie,NO,1000.0,PLEASED,2984
YES,MALE,23,SECONDARY,63.0,182.0,19.0194420963652,YES,SINGLE,Slaskie,YES,,MIXED,2985
NO,FEMALE,46,POST-SECONDARY OR HIGHER,80.0,160.0,31.25,YES,MARRIED,Pomorskie,YES,2000.0,PLEASED,2986
NO,FEMALE,61,PRIMARY/NO EDUCATION,64.0,156.0,26.2984878369494,YES,MARRIED,Lodzkie,NO,845.0,MIXED,2987
NO,FEMALE,19,VOCATIONAL/GRAMMAR,69.0,163.0,25.9701155481953,YES,SINGLE,Lodzkie,NO,0.0,PLEASED,2988
YES,MALE,63,SECONDARY,80.0,170.0,27.681660899654,NO,MARRIED,Lodzkie,NO,3000.0,MIXED,2989
NO,FEMALE,61,VOCATIONAL/GRAMMAR,65.0,158.0,26.0374939913475,NO,MARRIED,Slaskie,NO,952.0,MOSTLY SATISFIED,2990
NO,FEMALE,46,SECONDARY,65.0,158.0,26.0374939913475,YES,MARRIED,Mazowieckie,NO,1200.0,PLEASED,2991
NO,MALE,62,SECONDARY,73.0,170.0,25.2595155709343,NO,MARRIED,Malopolskie,NO,3795.0,MOSTLY SATISFIED,2992
NO,MALE,16,PRIMARY/NO EDUCATION,77.0,172.0,26.0275824770146,NO,SINGLE,Slaskie,NO,,PLEASED,2993
NO,MALE,19,VOCATIONAL/GRAMMAR,72.0,179.0,22.4712087637714,NO,SINGLE,Mazowieckie,YES,0.0,PLEASED,2994
NO,FEMALE,55,SECONDARY,67.0,160.0,26.171875,YES,MARRIED,Lubuskie,NO,2000.0,PLEASED,2995
NO,FEMALE,23,POST-SECONDARY OR HIGHER,54.0,168.0,19.1326530612245,NO,SINGLE,Lodzkie,NO,1000.0,MOSTLY SATISFIED,2996
YES,FEMALE,59,VOCATIONAL/GRAMMAR,90.0,164.0,33.4622248661511,NO,MARRIED,Opolskie,NO,700.0,TERRIBLE,2997
YES,MALE,35,SECONDARY,76.0,178.0,23.9868703446535,NO,SINGLE,Opolskie,NO,,MOSTLY SATISFIED,2998
NO,MALE,42,VOCATIONAL/GRAMMAR,89.0,170.0,30.7958477508651,YES,SINGLE,Malopolskie,NO,1420.0,MOSTLY SATISFIED,2999
YES,MALE,58,VOCATIONAL/GRAMMAR,90.0,170.0,31.1418685121107,YES,MARRIED,Lubelskie,NO,1100.0,MOSTLY SATISFIED,3000
NO,MALE,50,VOCATIONAL/GRAMMAR,80.0,176.0,25.8264462809917,YES,MARRIED,Kujawsko-pomorskie,NO,3000.0,MIXED,3001
NO,FEMALE,25,SECONDARY,65.0,170.0,22.4913494809689,YES,SINGLE,Lubuskie,NO,400.0,MOSTLY SATISFIED,3002
NO,FEMALE,64,SECONDARY,64.0,158.0,25.6369171607114,YES,MARRIED,Lubelskie,NO,700.0,PLEASED,3003
NO,FEMALE,81,PRIMARY/NO EDUCATION,62.0,160.0,24.21875,YES,WIDOWED,Pomorskie,NO,1400.0,MOSTLY SATISFIED,3004
NO,FEMALE,46,PRIMARY/NO EDUCATION,83.0,164.0,30.8596073765616,YES,MARRIED,Mazowieckie,NO,1000.0,PLEASED,3005
NO,MALE,76,POST-SECONDARY OR HIGHER,120.0,186.0,34.6860908775581,YES,MARRIED,Malopolskie,NO,1000.0,PLEASED,3006
NO,FEMALE,76,POST-SECONDARY OR HIGHER,85.0,170.0,29.4117647058824,YES,WIDOWED,Malopolskie,NO,1500.0,PLEASED,3007
NO,FEMALE,61,POST-SECONDARY OR HIGHER,68.0,164.0,25.2825698988697,YES,SINGLE,Zachodnio-pomorskie,NO,1800.0,PLEASED,3008
NO,FEMALE,45,PRIMARY/NO EDUCATION,74.0,160.0,28.90625,YES,WIDOWED,Mazowieckie,NO,1200.0,PLEASED,3009
NO,FEMALE,38,POST-SECONDARY OR HIGHER,53.0,164.0,19.7055324211779,YES,MARRIED,Swietokrzyskie,NO,3000.0,DELIGHTED,3010
NO,MALE,34,POST-SECONDARY OR HIGHER,81.0,198.0,20.6611570247934,YES,SINGLE,Slaskie,NO,1800.0,MOSTLY DISSATISFIED,3011
NO,MALE,65,SECONDARY,108.0,180.0,33.3333333333333,NO,MARRIED,Slaskie,NO,2500.0,PLEASED,3012
NO,MALE,57,VOCATIONAL/GRAMMAR,73.0,172.0,24.6755002704164,YES,MARRIED,Kujawsko-pomorskie,NO,1300.0,PLEASED,3013
NO,FEMALE,40,VOCATIONAL/GRAMMAR,65.0,168.0,23.0300453514739,YES,MARRIED,Mazowieckie,NO,800.0,MIXED,3014
NO,FEMALE,78,SECONDARY,70.0,164.0,26.0261748958953,YES,MARRIED,Lodzkie,NO,1150.0,MOSTLY SATISFIED,3015
NO,FEMALE,48,POST-SECONDARY OR HIGHER,58.0,164.0,21.5645449137418,YES,MARRIED,Podlaskie,NO,1800.0,PLEASED,3016
NO,FEMALE,18,VOCATIONAL/GRAMMAR,56.0,172.0,18.9291508923743,YES,SINGLE,Pomorskie,NO,0.0,PLEASED,3017
YES,MALE,58,SECONDARY,70.0,169.0,24.5089457652043,YES,MARRIED,Wielkopolskie,NO,1200.0,PLEASED,3018
NO,FEMALE,17,VOCATIONAL/GRAMMAR,59.0,155.0,24.5577523413111,YES,SINGLE,Mazowieckie,NO,0.0,MOSTLY SATISFIED,3019
YES,FEMALE,23,SECONDARY,56.0,159.0,22.1510225070211,YES,MARRIED,Wielkopolskie,NO,,PLEASED,3020
YES,FEMALE,58,SECONDARY,70.0,168.0,24.8015873015873,NO,MARRIED,Malopolskie,NO,1400.0,PLEASED,3021
NO,MALE,69,PRIMARY/NO EDUCATION,90.0,177.0,28.7273771904625,YES,MARRIED,Mazowieckie,NO,720.0,MOSTLY SATISFIED,3022
NO,MALE,52,VOCATIONAL/GRAMMAR,110.0,176.0,35.5113636363636,YES,SINGLE,Wielkopolskie,NO,1800.0,MIXED,3023
NO,FEMALE,45,POST-SECONDARY OR HIGHER,52.0,160.0,20.3125,NO,MARRIED,Swietokrzyskie,NO,0.0,DELIGHTED,3024
NO,FEMALE,40,VOCATIONAL/GRAMMAR,70.0,170.0,24.2214532871972,YES,MARRIED,Podlaskie,NO,1400.0,MOSTLY SATISFIED,3025
NO,FEMALE,70,VOCATIONAL/GRAMMAR,75.0,158.0,30.0432622977087,YES,WIDOWED,Mazowieckie,NO,800.0,MOSTLY SATISFIED,3026
NO,FEMALE,28,VOCATIONAL/GRAMMAR,74.0,164.0,27.5133848899465,NO,MARRIED,Lodzkie,NO,5000.0,PLEASED,3027
YES,MALE,36,SECONDARY,94.0,180.0,29.0123456790123,YES,SINGLE,Dolnoslaskie,NO,2500.0,PLEASED,3028
NO,MALE,38,VOCATIONAL/GRAMMAR,80.0,170.0,27.681660899654,NO,MARRIED,Lubelskie,NO,2000.0,PLEASED,3029
NO,FEMALE,24,SECONDARY,59.0,173.0,19.7133215276154,NO,SINGLE,Mazowieckie,YES,1200.0,PLEASED,3030
YES,FEMALE,62,SECONDARY,,155.0,,YES,SINGLE,Swietokrzyskie,NO,900.0,MOSTLY SATISFIED,3031
YES,MALE,37,PRIMARY/NO EDUCATION,76.0,168.0,26.9274376417234,YES,SINGLE,Podkarpackie,NO,1000.0,MOSTLY SATISFIED,3032
YES,FEMALE,60,POST-SECONDARY OR HIGHER,79.0,158.0,31.6455696202532,YES,MARRIED,Wielkopolskie,NO,2000.0,PLEASED,3033
NO,FEMALE,34,SECONDARY,50.0,155.0,20.8116545265349,YES,MARRIED,Slaskie,NO,,MOSTLY SATISFIED,3034
YES,MALE,40,VOCATIONAL/GRAMMAR,80.0,174.0,26.4235698242833,NO,MARRIED,Warminsko-mazurskie,NO,1600.0,MOSTLY DISSATISFIED,3035
NO,MALE,77,POST-SECONDARY OR HIGHER,80.0,171.0,27.3588454567217,NO,MARRIED,Podkarpackie,NO,1800.0,PLEASED,3036
NO,MALE,24,POST-SECONDARY OR HIGHER,81.0,174.0,26.7538644470868,NO,SINGLE,Warminsko-mazurskie,NO,1200.0,MOSTLY SATISFIED,3037
YES,MALE,55,VOCATIONAL/GRAMMAR,74.0,175.0,24.1632653061224,YES,MARRIED,Pomorskie,NO,,MOSTLY DISSATISFIED,3038
YES,FEMALE,37,POST-SECONDARY OR HIGHER,80.0,158.0,32.0461464508893,YES,MARRIED,Slaskie,NO,0.0,PLEASED,3039
NO,MALE,51,SECONDARY,73.0,171.0,24.9649464792586,YES,MARRIED,Malopolskie,NO,2400.0,MOSTLY SATISFIED,3040
NO,MALE,39,POST-SECONDARY OR HIGHER,90.0,180.0,27.7777777777778,NO,MARRIED,Warminsko-mazurskie,YES,1500.0,MIXED,3041
NO,MALE,45,VOCATIONAL/GRAMMAR,86.0,188.0,24.3322770484382,NO,MARRIED,Wielkopolskie,NO,1600.0,PLEASED,3042
NO,FEMALE,20,VOCATIONAL/GRAMMAR,50.0,167.0,17.9282154254366,NO,SINGLE,Wielkopolskie,NO,,PLEASED,3043
NO,FEMALE,43,SECONDARY,68.0,166.0,24.6770213383655,YES,WIDOWED,Mazowieckie,NO,1000.0,MIXED,3044
YES,MALE,19,VOCATIONAL/GRAMMAR,68.0,183.0,20.3051748335274,NO,SINGLE,Podkarpackie,YES,0.0,MOSTLY SATISFIED,3045
NO,FEMALE,29,POST-SECONDARY OR HIGHER,75.0,176.0,24.2122933884298,NO,MARRIED,Malopolskie,NO,1500.0,MOSTLY SATISFIED,3046
YES,FEMALE,50,SECONDARY,64.0,164.0,23.7953599048186,YES,DIVORCED,Wielkopolskie,NO,1587.0,PLEASED,3047
NO,MALE,45,VOCATIONAL/GRAMMAR,,,,YES,MARRIED,Slaskie,NO,3000.0,PLEASED,3048
NO,FEMALE,57,PRIMARY/NO EDUCATION,68.0,169.0,23.8086901719128,YES,MARRIED,Podkarpackie,NO,1200.0,MOSTLY SATISFIED,3049
NO,MALE,19,VOCATIONAL/GRAMMAR,53.0,174.0,17.5056150085877,YES,SINGLE,Podlaskie,NO,0.0,PLEASED,3050
NO,FEMALE,52,POST-SECONDARY OR HIGHER,85.0,172.0,28.7317468902109,YES,MARRIED,Malopolskie,NO,1700.0,PLEASED,3051
YES,FEMALE,31,VOCATIONAL/GRAMMAR,70.0,169.0,24.5089457652043,YES,MARRIED,Lubelskie,NO,,MIXED,3052
NO,FEMALE,51,VOCATIONAL/GRAMMAR,60.0,168.0,21.2585034013605,YES,MARRIED,Lubuskie,NO,1500.0,MOSTLY SATISFIED,3053
YES,FEMALE,57,VOCATIONAL/GRAMMAR,63.0,168.0,22.3214285714286,NO,MARRIED,Slaskie,NO,,MOSTLY SATISFIED,3054
NO,FEMALE,64,VOCATIONAL/GRAMMAR,58.0,157.0,23.5303663434622,NO,SINGLE,Kujawsko-pomorskie,NO,1270.0,MIXED,3055
NO,MALE,53,SECONDARY,88.0,175.0,28.734693877551,YES,DIVORCED,Wielkopolskie,NO,0.0,MIXED,3056
NO,FEMALE,41,SECONDARY,52.0,164.0,19.3337299226651,YES,DIVORCED,Mazowieckie,NO,1400.0,MIXED,3057
NO,FEMALE,73,VOCATIONAL/GRAMMAR,70.0,150.0,31.1111111111111,YES,MARRIED,Warminsko-mazurskie,NO,900.0,DELIGHTED,3058
NO,FEMALE,23,VOCATIONAL/GRAMMAR,67.0,170.0,23.1833910034602,NO,MARRIED,Pomorskie,NO,2500.0,MIXED,3059
NO,FEMALE,52,SECONDARY,85.0,170.0,29.4117647058824,YES,DIVORCED,Lodzkie,NO,1000.0,UNHAPPY,3060
YES,FEMALE,58,VOCATIONAL/GRAMMAR,54.0,165.0,19.8347107438017,YES,MARRIED,Warminsko-mazurskie,NO,1150.0,MOSTLY SATISFIED,3061
YES,MALE,19,VOCATIONAL/GRAMMAR,70.0,176.0,22.5981404958678,NO,SINGLE,Pomorskie,NO,,PLEASED,3062
NO,MALE,22,SECONDARY,60.0,176.0,19.3698347107438,YES,SINGLE,Wielkopolskie,NO,0.0,MOSTLY SATISFIED,3063
NO,FEMALE,47,POST-SECONDARY OR HIGHER,55.0,170.0,19.0311418685121,YES,DIVORCED,Zachodnio-pomorskie,NO,2400.0,MOSTLY DISSATISFIED,3064
NO,FEMALE,19,SECONDARY,90.0,169.0,31.5115016981198,NO,SINGLE,Wielkopolskie,NO,,PLEASED,3065
NO,FEMALE,20,VOCATIONAL/GRAMMAR,60.0,164.0,22.3081499107674,NO,SINGLE,Pomorskie,NO,,PLEASED,3066
NO,FEMALE,21,SECONDARY,58.0,160.0,22.65625,NO,SINGLE,Wielkopolskie,NO,0.0,MOSTLY SATISFIED,3067
NO,FEMALE,21,VOCATIONAL/GRAMMAR,60.0,170.0,20.7612456747405,YES,MARRIED,Slaskie,NO,1000.0,MOSTLY SATISFIED,3068
NO,MALE,22,SECONDARY,82.0,180.0,25.3086419753086,NO,SINGLE,Opolskie,NO,0.0,MOSTLY SATISFIED,3069
YES,MALE,32,SECONDARY,84.0,170.0,29.0657439446367,YES,MARRIED,Dolnoslaskie,NO,3200.0,DELIGHTED,3070
NO,MALE,71,SECONDARY,90.0,168.0,31.8877551020408,YES,MARRIED,Podkarpackie,NO,1400.0,PLEASED,3071
NO,MALE,32,SECONDARY,75.0,175.0,24.4897959183673,YES,MARRIED,Lodzkie,NO,2500.0,MOSTLY SATISFIED,3072
NO,MALE,68,PRIMARY/NO EDUCATION,106.0,182.0,32.0009660669001,NO,WIDOWED,Podlaskie,YES,1600.0,MIXED,3073
NO,MALE,63,PRIMARY/NO EDUCATION,117.0,176.0,37.7711776859504,YES,MARRIED,Slaskie,NO,3100.0,PLEASED,3074
NO,FEMALE,20,VOCATIONAL/GRAMMAR,67.0,170.0,23.1833910034602,YES,SINGLE,Zachodnio-pomorskie,YES,,PLEASED,3075
YES,FEMALE,52,PRIMARY/NO EDUCATION,61.0,160.0,23.828125,YES,DE FACTO SEPARATED,Swietokrzyskie,NO,1500.0,MIXED,3076
YES,FEMALE,60,VOCATIONAL/GRAMMAR,75.0,155.0,31.2174817898023,YES,MARRIED,Kujawsko-pomorskie,NO,1500.0,PLEASED,3077
NO,FEMALE,18,VOCATIONAL/GRAMMAR,61.0,165.0,22.4058769513315,NO,SINGLE,Zachodnio-pomorskie,YES,,MOSTLY SATISFIED,3078
NO,FEMALE,30,VOCATIONAL/GRAMMAR,82.0,164.0,30.4878048780488,YES,MARRIED,Mazowieckie,NO,1500.0,MIXED,3079
NO,MALE,53,PRIMARY/NO EDUCATION,80.0,167.0,28.6851446806985,YES,SINGLE,Dolnoslaskie,NO,640.0,MOSTLY DISSATISFIED,3080
NO,FEMALE,31,POST-SECONDARY OR HIGHER,69.0,174.0,22.7903289734443,NO,MARRIED,Lubelskie,NO,,MOSTLY SATISFIED,3081
NO,MALE,77,SECONDARY,80.0,167.0,28.6851446806985,YES,MARRIED,Dolnoslaskie,NO,2200.0,MOSTLY SATISFIED,3082
YES,MALE,57,POST-SECONDARY OR HIGHER,105.0,171.0,35.9084846619473,YES,MARRIED,Mazowieckie,NO,1900.0,MIXED,3083
NO,FEMALE,52,SECONDARY,60.0,154.0,25.2993759487266,YES,WIDOWED,Dolnoslaskie,NO,2000.0,MOSTLY SATISFIED,3084
NO,MALE,71,POST-SECONDARY OR HIGHER,70.0,170.0,24.2214532871972,NO,MARRIED,Lodzkie,NO,2300.0,PLEASED,3085
YES,MALE,39,VOCATIONAL/GRAMMAR,78.0,178.0,24.6181037747759,YES,MARRIED,Podkarpackie,YES,,MIXED,3086
YES,MALE,38,SECONDARY,86.0,168.0,30.4705215419501,NO,SINGLE,Lubuskie,YES,1234.0,PLEASED,3087
NO,MALE,80,VOCATIONAL/GRAMMAR,91.0,169.0,31.8616294947656,YES,WIDOWED,Kujawsko-pomorskie,NO,1400.0,MOSTLY SATISFIED,3088
NO,FEMALE,45,SECONDARY,70.0,165.0,25.7116620752984,YES,MARRIED,Warminsko-mazurskie,NO,1500.0,MOSTLY SATISFIED,3089
NO,FEMALE,60,SECONDARY,74.0,164.0,27.5133848899465,YES,MARRIED,Slaskie,NO,3000.0,PLEASED,3090
NO,MALE,35,VOCATIONAL/GRAMMAR,70.0,175.0,22.8571428571429,NO,SINGLE,Mazowieckie,NO,1400.0,MIXED,3091
NO,MALE,61,SECONDARY,96.0,170.0,33.2179930795848,YES,MARRIED,Pomorskie,NO,1800.0,MOSTLY SATISFIED,3092
YES,FEMALE,36,VOCATIONAL/GRAMMAR,54.0,165.0,19.8347107438017,YES,MARRIED,Lubuskie,NO,,MOSTLY SATISFIED,3093
NO,FEMALE,36,POST-SECONDARY OR HIGHER,77.0,172.0,26.0275824770146,NO,MARRIED,Slaskie,NO,0.0,PLEASED,3094
YES,MALE,64,PRIMARY/NO EDUCATION,80.0,164.0,29.7441998810232,YES,MARRIED,Lubelskie,NO,1400.0,MIXED,3095
YES,MALE,46,VOCATIONAL/GRAMMAR,74.0,176.0,23.8894628099174,YES,MARRIED,Kujawsko-pomorskie,NO,2000.0,DELIGHTED,3096
NO,FEMALE,55,SECONDARY,98.0,178.0,30.9304380760005,YES,MARRIED,Slaskie,NO,,MOSTLY SATISFIED,3097
YES,MALE,25,POST-SECONDARY OR HIGHER,72.0,180.0,22.2222222222222,NO,SINGLE,Podkarpackie,NO,,MOSTLY SATISFIED,3098
YES,FEMALE,54,PRIMARY/NO EDUCATION,70.0,164.0,26.0261748958953,YES,MARRIED,Swietokrzyskie,YES,,MIXED,3099
NO,FEMALE,44,POST-SECONDARY OR HIGHER,69.0,173.0,23.0545624644993,NO,MARRIED,Mazowieckie,NO,2700.0,MOSTLY SATISFIED,3100
NO,MALE,45,VOCATIONAL/GRAMMAR,88.0,180.0,27.1604938271605,YES,MARRIED,Lodzkie,NO,500.0,PLEASED,3101
NO,FEMALE,27,SECONDARY,75.0,162.0,28.5779606767261,YES,SINGLE,Lodzkie,NO,1000.0,MIXED,3102
YES,MALE,37,VOCATIONAL/GRAMMAR,85.0,178.0,26.8274207802045,YES,SINGLE,Mazowieckie,NO,2000.0,DELIGHTED,3103
NO,MALE,48,SECONDARY,80.0,170.0,27.681660899654,NO,MARRIED,Wielkopolskie,NO,600.0,MIXED,3104
NO,MALE,45,VOCATIONAL/GRAMMAR,84.0,178.0,26.5118040651433,YES,MARRIED,Podlaskie,NO,3000.0,MOSTLY SATISFIED,3105
NO,FEMALE,26,POST-SECONDARY OR HIGHER,60.0,165.0,22.038567493113,YES,MARRIED,Lubuskie,NO,2400.0,PLEASED,3106
YES,FEMALE,54,PRIMARY/NO EDUCATION,90.0,167.0,32.2707877657858,YES,MARRIED,Zachodnio-pomorskie,NO,,MIXED,3107
YES,FEMALE,50,SECONDARY,75.0,167.0,26.8923231381548,NO,WIDOWED,Mazowieckie,NO,1500.0,MOSTLY SATISFIED,3108
NO,MALE,65,SECONDARY,76.0,168.0,26.9274376417234,NO,MARRIED,Slaskie,NO,4000.0,PLEASED,3109
NO,FEMALE,22,SECONDARY,54.0,165.0,19.8347107438017,NO,SINGLE,Wielkopolskie,NO,500.0,MOSTLY SATISFIED,3110
YES,FEMALE,29,VOCATIONAL/GRAMMAR,58.0,165.0,21.3039485766759,NO,SINGLE,Zachodnio-pomorskie,NO,,PLEASED,3111
NO,FEMALE,91,PRIMARY/NO EDUCATION,58.0,156.0,23.8330046022354,YES,WIDOWED,Slaskie,NO,950.0,MOSTLY SATISFIED,3112
NO,FEMALE,56,SECONDARY,80.0,164.0,29.7441998810232,YES,MARRIED,Lubelskie,NO,4200.0,MOSTLY SATISFIED,3113
NO,FEMALE,65,SECONDARY,70.0,162.0,26.6727632982777,YES,MARRIED,Wielkopolskie,NO,1200.0,MOSTLY SATISFIED,3114
NO,MALE,25,POST-SECONDARY OR HIGHER,89.0,184.0,26.2878071833648,NO,SINGLE,Slaskie,NO,2700.0,PLEASED,3115
NO,FEMALE,58,VOCATIONAL/GRAMMAR,79.0,154.0,33.3108449991567,NO,WIDOWED,Zachodnio-pomorskie,NO,1000.0,MOSTLY SATISFIED,3116
NO,MALE,30,VOCATIONAL/GRAMMAR,95.0,185.0,27.7574872169467,YES,SINGLE,Slaskie,YES,4000.0,PLEASED,3117
NO,FEMALE,26,POST-SECONDARY OR HIGHER,60.0,165.0,22.038567493113,NO,MARRIED,Podkarpackie,NO,4000.0,PLEASED,3118
NO,FEMALE,55,POST-SECONDARY OR HIGHER,90.0,168.0,31.8877551020408,YES,SINGLE,Mazowieckie,NO,2000.0,MIXED,3119
NO,MALE,19,VOCATIONAL/GRAMMAR,95.0,178.0,29.9835879308168,NO,SINGLE,Zachodnio-pomorskie,YES,,PLEASED,3120
YES,MALE,45,VOCATIONAL/GRAMMAR,92.0,172.0,31.0978907517577,YES,MARRIED,Dolnoslaskie,NO,3500.0,MOSTLY SATISFIED,3121
NO,MALE,64,SECONDARY,91.0,176.0,29.3775826446281,YES,MARRIED,Podlaskie,NO,760.0,PLEASED,3122
NO,MALE,54,VOCATIONAL/GRAMMAR,100.0,174.0,33.0294622803541,NO,MARRIED,Wielkopolskie,NO,1500.0,MIXED,3123
NO,FEMALE,39,SECONDARY,115.0,165.0,42.2405876951332,YES,MARRIED,Pomorskie,NO,1350.0,MOSTLY SATISFIED,3124
NO,MALE,42,VOCATIONAL/GRAMMAR,105.0,180.0,32.4074074074074,YES,MARRIED,Mazowieckie,NO,2100.0,MOSTLY SATISFIED,3125
NO,MALE,18,VOCATIONAL/GRAMMAR,64.0,170.0,22.1453287197232,NO,SINGLE,Lodzkie,NO,,PLEASED,3126
NO,MALE,39,SECONDARY,92.0,187.0,26.3090165575224,NO,MARRIED,Swietokrzyskie,NO,2500.0,PLEASED,3127
YES,MALE,33,POST-SECONDARY OR HIGHER,76.0,178.0,23.9868703446535,NO,MARRIED,Zachodnio-pomorskie,NO,3800.0,MOSTLY SATISFIED,3128
NO,MALE,18,VOCATIONAL/GRAMMAR,68.0,184.0,20.0850661625709,NO,SINGLE,Malopolskie,NO,120.0,MOSTLY SATISFIED,3129
YES,FEMALE,50,VOCATIONAL/GRAMMAR,61.0,159.0,24.1287923737194,YES,DIVORCED,Slaskie,YES,980.0,UNHAPPY,3130
NO,MALE,54,VOCATIONAL/GRAMMAR,72.0,160.0,28.125,NO,MARRIED,Dolnoslaskie,NO,1000.0,PLEASED,3131
NO,MALE,40,VOCATIONAL/GRAMMAR,75.0,170.0,25.9515570934256,YES,MARRIED,Lodzkie,NO,0.0,MIXED,3132
NO,FEMALE,63,VOCATIONAL/GRAMMAR,50.0,168.0,17.7154195011338,YES,MARRIED,Pomorskie,NO,1300.0,PLEASED,3133
YES,FEMALE,32,VOCATIONAL/GRAMMAR,50.0,170.0,17.3010380622837,YES,MARRIED,Pomorskie,NO,,MOSTLY SATISFIED,3134
NO,FEMALE,54,SECONDARY,75.0,158.0,30.0432622977087,NO,MARRIED,Malopolskie,NO,1700.0,MOSTLY SATISFIED,3135
NO,FEMALE,38,POST-SECONDARY OR HIGHER,82.0,168.0,29.0532879818594,NO,MARRIED,Pomorskie,NO,5400.0,PLEASED,3136
YES,MALE,45,SECONDARY,100.0,180.0,30.8641975308642,NO,MARRIED,Swietokrzyskie,NO,1500.0,PLEASED,3137
NO,FEMALE,42,POST-SECONDARY OR HIGHER,59.0,160.0,23.046875,NO,MARRIED,Mazowieckie,NO,3000.0,PLEASED,3138
NO,FEMALE,43,PRIMARY/NO EDUCATION,62.0,164.0,23.051754907793,YES,SINGLE,Warminsko-mazurskie,NO,0.0,MIXED,3139
YES,MALE,23,SECONDARY,68.0,180.0,20.9876543209877,NO,SINGLE,Mazowieckie,YES,1500.0,MOSTLY SATISFIED,3140
YES,MALE,59,VOCATIONAL/GRAMMAR,78.0,175.0,25.469387755102,YES,DIVORCED,Lodzkie,NO,460.0,MOSTLY SATISFIED,3141
YES,FEMALE,23,SECONDARY,70.0,160.0,27.34375,NO,SINGLE,Zachodnio-pomorskie,NO,,MIXED,3142
NO,MALE,62,PRIMARY/NO EDUCATION,95.0,168.0,33.6592970521542,YES,MARRIED,Wielkopolskie,NO,850.0,DELIGHTED,3143
YES,FEMALE,25,SECONDARY,70.0,180.0,21.6049382716049,NO,SINGLE,Lodzkie,YES,1400.0,MOSTLY SATISFIED,3144
NO,MALE,28,SECONDARY,110.0,186.0,31.7955833044283,NO,MARRIED,Wielkopolskie,NO,1500.0,MOSTLY SATISFIED,3145
NO,FEMALE,56,PRIMARY/NO EDUCATION,53.0,156.0,21.7784352399737,YES,WIDOWED,Slaskie,NO,,MOSTLY DISSATISFIED,3146
NO,MALE,25,SECONDARY,88.0,183.0,26.2772850786825,NO,SINGLE,Zachodnio-pomorskie,NO,,PLEASED,3147
NO,MALE,55,PRIMARY/NO EDUCATION,95.0,170.0,32.8719723183391,YES,MARRIED,Warminsko-mazurskie,NO,600.0,PLEASED,3148
NO,FEMALE,48,SECONDARY,82.0,160.0,32.03125,NO,MARRIED,Slaskie,NO,1700.0,PLEASED,3149
NO,FEMALE,17,VOCATIONAL/GRAMMAR,80.0,171.0,27.3588454567217,NO,SINGLE,Warminsko-mazurskie,NO,,MOSTLY SATISFIED,3150
NO,FEMALE,70,PRIMARY/NO EDUCATION,79.0,165.0,29.0174471992654,YES,DIVORCED,Swietokrzyskie,NO,850.0,MOSTLY DISSATISFIED,3151
